rank,amazon7425_id,original_amazon_id,gate,image_weight,image_url,profile,reasoning
11,853,1135,0.7904922962188721,0.20950770378112793,"https://m.media-amazon.com/images/I/51+7S2Mv4mL._SX332_BO1,204,203,200_.jpg","This Is Not a Test is a book for mature young adults who enjoy reading about dark and intense themes such as abuse, suicide, and zombie apocalypse. The book is exceptionally written and evokes strong emotions from the reader as they follow the main character, Sloane, on her journey of survival and redemption. The book is not for the faint of heart and those who are easily triggered by themes of violence and psychological trauma.","The book deals with heavy and mature themes such as abuse and suicide that might not be suitable for young readers. Also, the book's portrayal of the zombie apocalypse is not glamorized or romanticized and depicts the harsh reality of survival in a lawless and violent world. The author's excellent writing evokes strong emotions of fear, dread, and empathy in the reader, making it a compelling read for those who enjoy dark and intense themes. However, the book's graphic violence and strong language might not be for everyone, and readers who are easily triggered by such themes should avoid it."
12,209,274,0.7904700636863708,0.20952993631362915,"https://m.media-amazon.com/images/I/41O5xMRRIOS._SX326_BO1,204,203,200_.jpg",Readers who enjoy romantic fiction with complex and layered characters dealing with life issues and want a story that can touch their heart will enjoy Tidal: A Novel by Emily Snow.,"The book's description emphasizes the hot romance between male and female protagonists who have deep and flawed personalities. The book also addresses life issues with class and has a setting that is described as amazing. This book has received positive feedback from various book blogs, which indicates that it has touched readers emotionally. Therefore, readers who desire complex romance stories with real-life themes and well-drawn characters will find Tidal: A Novel satisfying."
13,189,249,0.7904291749000549,0.20957082509994507,"https://m.media-amazon.com/images/I/51QeuYXyLDL._SX329_BO1,204,203,200_.jpg","Readers who enjoy contemporary romance novels may like Losing Hope Signed Limited Edition. Fans of Colleen Hoover's writing style, characterized by complex characters and emotional storylines, will also appreciate this book. This limited edition version is ideal for collectors or avid fans of the author.","Based on the author's previous works and the brief description provided, readers can expect a romance novel with complex characters and a heartfelt storyline. Fans of Colleen Hoover's style are likely to enjoy this book, but the limited edition aspect may also be a draw for collectors or avid fans of the author who want a special edition copy for their collection."
14,5525,7012,0.790324866771698,0.209675133228302,"https://m.media-amazon.com/images/I/51cNTRol3YL._SX330_BO1,204,203,200_.jpg","Young adult readers who enjoy poetic writing, romance, art, and a story about self-discovery and transformation would love Graffiti Moon. The book celebrates friendship, intellectual pursuits, and the beauty of language. It is perfect for readers who appreciate witty and realistic dialogue, and a well-crafted plot that follows two characters on a one-night adventure through the streets of Melbourne, Australia.","The book is recommended for young adults who enjoy reading about self-discovery and transformation. The author's poetic writing is beautifully crafted, and it celebrates language and art. The book revolves around a one-night adventure of two characters who are on a quest for answers. Along the way, they populate the Australian-street art landscape and follow clues that lead them to a party. Graffiti Moon is an action-packed read filled with twists and turns that will keep readers on the edge of their seats. Additionally, the witty and realistic dialogue adds a romantic and humorous quality to the novel."
15,4521,5784,0.790271520614624,0.20972847938537598,"https://m.media-amazon.com/images/I/41to0AB4sUL._SX331_BO1,204,203,200_.jpg","Readers looking for a YA paranormal romance with mythology, suspense, and action would enjoy Wake (Watersong) by Amanda Hocking. The story has a well-structured plot, a blend of colors between myth and modernity, and exceptional character development. The book has themes of young love, high school, family, and underwater mythology that are appealing to teenagers. Although the book has dark elements, the supernatural aspects have a gentler touch that may be enjoyable even for younger readers. If you're a fan of contemporary teen life combined with mystery and paranormal suspense, this is the book for you.","Wake is a YA paranormal romance story set under the sea. The themes of high school, family, young love, and mythology make it appeal to teenagers who enjoy fantasy and fiction. Amanda Hocking blends mythology with contemporary elements by presenting an easy-to-read paranormal suspense story that is exciting to readers. The book is full of mythology, high intrigue, paranormal lore, romance, and suspense, which explains its appeal to fans of supernatural elements with the gentler touch. Also, the book is charged with suspense and action, from the well-structured plot to character development making it an excellent choice for readers who love stories with twists and turns."
16,49,58,0.7901907563209534,0.20980924367904663,"https://m.media-amazon.com/images/I/41YRkiuKuzL._SX328_BO1,204,203,200_.jpg","This book is perfect for young adults who enjoy reading psychological mysteries that involve suspense, romance, and some supernatural elements. It particularly appeals to readers who enjoy unreliable narrators, as the titular character's mental state is constantly in question. Readers who enjoyed the first book in the trilogy will find themselves drawn into the continued intrigue and high-stakes plotlines of The Evolution of Mara Dyer.","The book contains elements that would appeal to a young adult audience, such as themes of self-discovery, romance, and family relationships. However, it also provides suspenseful and creepy elements that make it a page-turner for fans of psychological thrillers. The fact that the narrator's mental state is constantly questioned throughout the book adds an extra layer of complexity to the plot, making it a thought-provoking read. Additionally, fans of the first book in the trilogy will be satisfied with the continuation of the story and the new mysteries that are introduced."
17,4367,5569,0.7901625037193298,0.20983749628067017,"https://m.media-amazon.com/images/I/51v4Wurfm-L._SX329_BO1,204,203,200_.jpg","The List, by Siobhan Vivian, is a young adult novel that explores the themes of femininity, sisterhood, relationships, and the damaging effects of physical appearance on self-esteem. It is recommended for young teenage girls who are struggling with these issues and are seeking to understand and navigate the complex social dynamics of high school. While the novel deals with important and sensitive issues, it does so in a thoughtful and nuanced way that avoids moralistic platitudes and instead seeks to create meaningful conversations around these subjects.","The focus of The List is on the experiences of high school girls, particularly on how physical appearance shapes their social status and self-esteem. The novel provides an honest and empathetic portrayal of the complex and often painful dynamics of adolescent female relationships, and seeks to offer guidance and support to young teenage girls who may be going through similar struggles. The book avoids simplistic moralizing and instead provides a thoughtful and nuanced exploration of these complex issues that is sure to resonate with many readers."
18,3932,5038,0.7901368737220764,0.20986312627792358,"https://m.media-amazon.com/images/I/51C-MzbAAzL._SX331_BO1,204,203,200_.jpg","Young adult readers who enjoy romantic novels filled with love triangles, witty dialogues, sarcastic characters, mean girl confrontations, and dramatic intrigue, will find Such a Rush to be an excellent read for summer. The story centers on the life of Leah, a strong female character who falls in love with twin brothers. This book is perfect for those seeking a blend of romance and realism in their summer read.","The description of the book highlights the presence of elements such as love triangles, sarcastic characters, dramatic intrigue, and witty dialogues. These elements are often appealing to young adults who enjoy romantic novels. The story's protagonist, Leah, being a strong female character, is also a noteworthy aspect for young adult readers who enjoy female-driven narratives. Finally, the reviewer's positive feedback suggesting that the book has it all with its blend of romance, interesting characters, and dramatic intrigue further supports the view that young adult readers who enjoy romantic novels with a real dose of drama would enjoy Such a Rush. "
19,192,252,0.7901197075843811,0.2098802924156189,"https://m.media-amazon.com/images/I/51NGt1zrFOL._SX328_BO1,204,203,200_.jpg",Fans of young adult romance novels would enjoy reading Crash into You. It portrays an unlikely love story between two people from different social classes who share a passion for racing cars and overcoming their fears. Recommended for readers who enjoy romantic teen novels such as those written by Simone Elkeles or Abbi Glines.,"The book's plot centers around the relationship between two characters from different backgrounds who are drawn together by their love of high-speed car racing and the obstacles they must overcome to be together. The book has a Romeo and Juliet-style of romance where love conquers all, making it appealing to fans of young adult romance novels. Additionally, the combination of the danger of car racing with the thrill of first love makes Crash into You an enticing read for teens. Finally, the book has been recommended for readers who enjoy the books of Simone Elkeles and Abbi Glines who are well-known writers in this genre, cementing its appeal to the fans of this type of novel."
20,1767,2256,0.7899919152259827,0.21000808477401733,"https://m.media-amazon.com/images/I/51BYL6IlTQL._SX329_BO1,204,203,200_.jpg","Fans of supernatural mysteries with a dark twist will enjoy Graveminder by Melissa Marr. The story is about a small town that exists alongside a shadowy land of the dead where the living and the dead are dangerously connected. The book also explores the idea of fate and choice, as the characters discover they have a destiny to fulfill since they were born. The mythology of the Graveminder is based on traditions of ancestor regard and duty to the dead across different cultures. The dead must be nourished with food, drink, and story for a set time, or else they will come back to get the nourishment they need from the living. The book has a sense of liminality and borderland, with characters who are always strangers in a strange land.","Graveminder combines elements of supernatural mystery, fate, and the duty to the dead from different cultures to create an intriguing and unique world. Fans of suspenseful stories and dark twists will enjoy the book's exploration of the connection between the living and the dead, and the idea that the dead must be properly minded to avoid returning to take from the living. The book's sense of liminality, with its juxtaposed worlds and characters who exist because of the lines, sets it apart. Additionally, the characters' internal struggle with fate and choice gives another level of depth to the story. Overall, Graveminder is an engaging read that will satisfy readers looking for a blend of supernatural elements, mythologies, and mysteries."
21,680,907,0.7897461652755737,0.21025383472442627,"https://m.media-amazon.com/images/I/51JkO102LAL._SX326_BO1,204,203,200_.jpg","Fans of fast-paced, action-packed dystopian young adult literature, with a heavy romantic component, will enjoy Ignite Me. Tahereh Mafi writes with bold, inventive prose, creating characters that readers will become invested in, and a plot that keeps them on the edge of their seats until the very end. Readers who liked the Beautiful Creatures or Fallen series, or Twilight, will find this addictive and satisfying.","The reviews of the Shatter Me series by Tahereh Mafi, of which Ignite Me is the third and final book, indicate that this book is well beloved by fans of the genre. Reviewers praised the intense, romantic relationship between the characters, the riskiness of Mafi's storytelling, and the fast-paced action scenes that vividly portray the dangers the characters are facing. The Shatter Me series, of which Ignite Me is the conclusion, has been compared to popular young adult dystopian literature like Delirium, Fire, and Twilight, indicating that fans of those series would likely enjoy this book. Overall, the book is a thrilling read that will leave readers satisfied yet eagerly awaiting more."
22,2119,2674,0.7897137999534607,0.2102862000465393,"https://m.media-amazon.com/images/I/51Qkv5tTPbL._SX329_BO1,204,203,200_.jpg","Readers who enjoy romantic YA novels with intriguing plots and multifaceted characters would enjoy Fracture. Teen audiences who appreciate stories that explore life and death will be drawn to this book. Furthermore, those looking for stories that present a high-school setting with different social classes will also appreciate Fracture.","The book Fracture offers an intriguing storyline that combines romance, death, and high-school experiences, making it appealing to young adult audiences. The main character Delaney's newfound power provides an unusual twist to the traditional romantic novels, and the presence of Troy in her life explores the fear, love, and hate relationships found in many YA love stories, making it enjoyable for readers who like romances. The themes of life and death, coupled with high school hierarchy and relationships, broaden the potential readership. Furthermore, the inclusion of a high school setting with various social classes provides further depth to the book's appeal to its targeted readership."
23,2429,3097,0.7896831035614014,0.21031689643859863,"https://m.media-amazon.com/images/I/51WSIkJuAEL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","Fans of young adult mystery novels will enjoy The Name of the Star (The Shades of London) due to its thrilling and atmospheric plot, as well as the romantic undertones throughout the story. The book is also recommended for readers who enjoy Cassandra Clare's writing style and those who have previously enjoyed the author's work. Fans of Johnson's other books, including 13 Little Blue Envelopes, will find similar themes of adventure and self-discovery in this novel. However, readers who are not interested in mysteries or Young Adult fiction may not find this book engaging.","The Name of the Star (The Shades of London) is a Young Adult mystery novel with plenty of thrilling and atmospheric details that fans of the genre will enjoy. The book's plot is well-written and keeps the reader engaged from start to finish, while the romantic elements add an interesting layer to the story. Additionally, the book is written in a style similar to Cassandra Clare's work, giving fans of her writing an additional reason to read it. Johnson's writing style and story themes also make this book a good choice for fans of her previous work like 13 Little Blue Envelopes. However, those who are not interested in mysteries or Young Adult fiction may not find it enjoyable."
24,2315,2922,0.7896726727485657,0.21032732725143433,"https://m.media-amazon.com/images/I/41f+laZyhNL._SY344_BO1,204,203,200_.jpg","Fans of contemporary romance novels with humorous, poignant, and steamy moments would enjoy Faking It (Losing It) by Cora Carmack.","The book has received positive reviews from multiple bestselling authors, who have applauded the author's ability to blend humor, heartache, love, and heat seamlessly. The book is a perfect mix of sexual tension, heartache, and fabulous characters, all wrapped up with a hefty dose of humor. The story has a slice-of-life feel and is a relatable fantasy for every woman. Those who enjoy books with strong chemistry and deep emotional connection will thoroughly enjoy Faking It."
25,188,248,0.7895627021789551,0.21043729782104492,"https://m.media-amazon.com/images/I/51PjZevjO9L._SX320_BO1,204,203,200_.jpg","Fans of new-adult fiction and contemporary romance novels will enjoy Maybe Someday by Colleen Hoover. The book tells a beautiful and emotional story of an unexpected love affair between Sydney, a heartbroken girl who is cheated on by her boyfriend, and Ridge, a talented musician whom Sydney develops an attraction to over their musical collaboration. The book features relatable and lovable characters, true-to-life emotions, and plenty of sexual tension. Additionally, the book includes original songs, making it a unique reading and listening experience for fans. Overall, Maybe Someday is a captivating and passionate journey that will leave readers feeling warm and fuzzy inside.","The opinions of multiple fans and reviewers of Maybe Someday have been overwhelmingly positive, with many describing it as one of Colleen Hoover's best works yet. The book appeals to readers who enjoy books with relatable characters, emotional love stories, and unique elements, such as the inclusion of songs that add another dimension to the reading experience. The book's universality in describing emotions such as heartbreak, attraction, and passion makes it relatable to any reader, making it a recommended read for fans of contemporary romance, new-adult fiction, and those who enjoy emotional stories."
26,3933,5040,0.7895396947860718,0.21046030521392822,"https://m.media-amazon.com/images/I/41yMXTLycPL._SX322_BO1,204,203,200_.jpg","Fans of lighthearted romantic comedies set in Miami, and those who enjoy stories about characters who have to take self-improvement journeys to achieve their goals, will enjoy 'In Need of Therapy'.","Tracie Banister's novel 'In Need of Therapy' tells the story of a protagonist, a young woman named Pilar who, after a series of unfortunate events, decides to embark on a self-improvement journey to find her true self and the love of her life. The book features humorous moments, a Miami setting, and a relatable protagonist that readers will root for. Those who enjoy lighthearted romantic comedies will find this book to be a good fit for their tastes. Additionally, readers who enjoy stories that center around characters taking journeys of self-improvement to achieve their goals and find happiness in their lives will also appreciate this novel."
27,5315,6763,0.7895364165306091,0.21046358346939087,"https://m.media-amazon.com/images/I/51bwk15wjeL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Young adult readers who enjoy a heartwarming holiday romance with a literary twist may enjoy Dash & Lily's Book of Dares.,"The book follows the story of two teenagers who explore the city of New York during Christmas through a red Moleskine notebook with a list of literary clues. The book is appealing to well-read teenagers who enjoy literary references and a romantic plot. While the teens' experiences might not be typical, their emotions are relatable, making it a heartwarming read. Additionally, readers who enjoyed the authors' prior book Nick & Norah's Infinite Playlist may enjoy this novel."
28,949,1258,0.7895219922065735,0.2104780077934265,"https://m.media-amazon.com/images/I/51e52Cgd8BS._SX322_BO1,204,203,200_.jpg","Fans of steamy romance novels will enjoy Working It: A Love by Design Novel. The story follows Emerson, a relatable and down-to-earth heroine in the glamorous but challenging world of modeling. The chemistry between Emerson and Ben, a male supermodel, is palpable, making for a hot and sexy read. The fast-paced writing style and emotional storyline will captivate readers. This book is perfect for those who enjoy a little Devil Wears Prada with a steamy twist.","The summary is derived directly from the description provided with the book. The praise for the book from various bestselling authors suggests that it is well-written and highly entertaining. The focus on the relationship between Emerson and Ben and the steamy scenes will appeal to fans of romance novels, while the behind-the-scenes glimpse into the world of modeling adds an interesting aspect to the story. Overall, the book seems to be a quick and enjoyable read for those who enjoy romance novels with a touch of steaminess."
29,6081,7721,0.7894466519355774,0.2105533480644226,"https://m.media-amazon.com/images/I/41+aRFrtTpL._SX329_BO1,204,203,200_.jpg","Unbreak My Heart by Melissa Walker would appeal to young adults and teenage girls who enjoy reading contemporary romance novels with emotional depth. The story focuses on the journey of the protagonist as she deals with heartbreak, self-discovery, and healing. The themes of love, loss, and personal growth make this book perfect for those who enjoy character-driven narratives with relatable emotions and experiences.","The author's previous works and target audience suggest that Unbreak My Heart would be enjoyed by young adults and teenage girls who enjoy reading about emotional journeys and relatable experiences. The themes of love, heartbreak, and personal growth also align with the typical themes of contemporary romance novels. Additionally, the author's experience in writing for teenage girls and in managing a daily newsletter for young women also supports the conclusion that this book would appeal to a similar audience."
30,2116,2668,0.7894176244735718,0.21058237552642822,"https://m.media-amazon.com/images/I/41u-S-1WEML._SX328_BO1,204,203,200_.jpg","The Program is recommended for young adult readers who relish dystopian stories with intriguing plot, compelling characters and relate to societal and mental health issues. People interested in books like Delirium, Divergent may find The Program their cup of tea.","The book draws readers into a dystopian setting where suicide has become an epidemic, leading to the introduction of The Program that attempts to cure depression through the selective memory erasure. The story captivates with its strong character development, a compelling plot that holds readers' attention, and the portrayal of mental health issues and societal pressures. Teenagers grappling with depression and stress could relate to Sloane, James, and other characters as they go through journeys of self-discovery and healing. The book successfully weaves themes of love, loss, and sacrifice into the story, making it an emotional rollercoaster ride. Overall, The Program would appeal to young adult readers interested in dystopian, mental health, and societal issues, and fans of Delirium, Divergent, and similar titles."
31,733,971,0.7894005179405212,0.21059948205947876,"https://m.media-amazon.com/images/I/51eiaCwhqrL._SX329_BO1,204,203,200_.jpg","Revived by Cat Patrick is a science fiction novel that is perfect for young adults who enjoy romance and suspense. In particular, readers who appreciate the exploration of life, death, love, and friendship will find it engaging.","The book explores the theme of death and the concept of what happens when someone dies, which will appeal to young adults who are interested in this topic. The romantic storyline adds a layer of intrigue and will engage readers who appreciate the mixture of romance and science-fiction. The book is filled with twists and turns, keeping the readers on their toes, which will keep them engaged throughout the story. Additionally, the friendship angle enhances the storyline, adding depth to the characterizations and the plot. Overall, this book is perfect for young adults who enjoy science fiction with a touch of romance and suspense."
32,2433,3101,0.7893812656402588,0.2106187343597412,"https://m.media-amazon.com/images/I/51QyJeqJjJL._SX331_BO1,204,203,200_.jpg","Fans of young adult romance will enjoy Lola and the Boy Next Door, especially those who enjoy stories about finding love in unexpected places. This book would also appeal to readers who like stories about personal growth and discovering one's true self.","Lola and the Boy Next Door is a coming-of-age love story that deals with themes of identity and personal growth. The main character, Lola, must navigate her feelings for her longtime crush and the boy next door while also dealing with issues of self-discovery and family dynamics. This story will resonate with young adult readers who enjoy stories about romance and self-discovery."
33,89,112,0.7892539501190186,0.21074604988098145,"https://m.media-amazon.com/images/I/510q+iCQiTL._SX327_BO1,204,203,200_.jpg","Fans of young adult romance novels would enjoy 'The Statistical Probability of Love at First Sight'. Set on a transatlantic flight, the story explores the possibility of love at first sight and the importance of slowing down to recognize and appreciate life's opportunities. The protagonist, Hadley, is a relatable character with honest family relationships and fragmented emotions, making her easily identifiable for many readers. The book also features references to classic literature, such as Dickens' 'Our Mutual Friend'. Overall, the book is a heartwarming and engaging love story that appeals to young adult readers who enjoy a mix of romance, self-discovery, and themes of family and personal growth.","The book's main focus on young adult romance, combined with relatable characters, emotional depth, and references to classic literature, make it an ideal read for young adult readers who enjoy a mix of romance, self-discovery, and themes of family and personal growth. The setting of the book, on a transatlantic flight, adds a unique backdrop to the story and explores themes of connectivity and slowing down to appreciate life's opportunities. Overall, the book offers a heartwarming and engaging love story that appeals to its target audience of young adult readers."
34,6331,8028,0.7891268730163574,0.21087312698364258,"https://m.media-amazon.com/images/I/51gmUJm7hZL._SX328_BO1,204,203,200_.jpg","Readers who enjoy Young Adult fiction with themes of grief, romance, and self-discovery would enjoy 'In Honor'. The book is a heart-warming tale of two people who go on a road trip to fulfill the last request of a fallen soldier, leading to healing and closure for their shared loss. The story is relatable, with the characters dealing with personal struggles and growing emotionally throughout the journey.","The book has a touching storyline that deals with a relevant and relatable issue of losing a loved one in the war. It explores the emotions of grief, guilt, and self-discovery in an authentic way that is engaging to readers. The romantic subplot provides a nice balance to the poignant plot, adding a new layer to the story. The author's portrayal of the main characters and their relationship is nuanced and realistic, making it easy for readers to connect with them. Overall, 'In Honor' is an excellent read for those who enjoy YA contemporary fiction with a message."
35,5531,7019,0.789084255695343,0.21091574430465698,"https://m.media-amazon.com/images/I/51LrlsPairL._SX331_BO1,204,203,200_.jpg","The Day Before is a heartfelt book that would appeal to those who appreciate lyrical writing and poignant stories. Readers who enjoy books about the importance of friendship, love, and compassion would resonate with this novel.","The endorsement by bestselling author Sarah Ockler praises the lyrical and vivid writing of this book, which suggests that those who appreciate beautiful writing would enjoy it. The mention of themes such as the importance of friendship, love, and compassion in the summary is likely to resonate with readers who enjoy stories with similar themes. Overall, the book seems to be an emotional and touching read that would appeal to those who appreciate heartfelt stories."
